"","vars","effect","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","height_avg_cs","fixed",NA,"(Intercept)",-0.502425752485452,0.228946849456948,-2.19450826109722,0.0281988907091917,-0.951153331794983,-0.0536981731759215
"2","height_avg_cs","fixed",NA,"height_avg_cs",0.390276213418263,0.200835212118862,1.9432658710629,0.0519840428631933,-0.00335356916216872,0.783905995998695
"3","height_avg_cs","ran_pars","sp4","sd__(Intercept)",2.01020922971464,NA,NA,NA,NA,NA
"4","height_avg_cs","ran_pars","year","sd__(Intercept)",0.545981690195716,NA,NA,NA,NA,NA
"5","cvseed_cs","fixed",NA,"(Intercept)",-0.615586117450264,0.206754287800989,-2.97738017430041,0.00290723262591356,-1.02081707518943,-0.210355159711097
"6","cvseed_cs","fixed",NA,"cvseed_cs",-0.286845594132835,0.136114512978528,-2.10738434760505,0.0350842772671736,-0.553625137343959,-0.0200660509217102
"7","cvseed_cs","ran_pars","sp4","sd__(Intercept)",1.86047920483481,NA,NA,NA,NA,NA
"8","cvseed_cs","ran_pars","year","sd__(Intercept)",0.586832696974474,NA,NA,NA,NA,NA
"9","cofruit_cs","fixed",NA,"(Intercept)",-0.515527673586816,0.208881451201265,-2.46803950576773,0.0135855325191903,-0.924927794979756,-0.106127552193876
"10","cofruit_cs","fixed",NA,"cofruit_cs",0.282717864160463,0.121271001119086,2.33128993371497,0.0197380766596871,0.0450310695979371,0.520404658722988
"11","cofruit_cs","ran_pars","sp4","sd__(Intercept)",1.96504571996358,NA,NA,NA,NA,NA
"12","cofruit_cs","ran_pars","year","sd__(Intercept)",0.527543734043755,NA,NA,NA,NA,NA
"13","endocarp_investment_cs","fixed",NA,"(Intercept)",-0.642035856420608,0.189479476548419,-3.38841898930698,0.000702967910183978,-1.01340880626501,-0.270662906576206
"14","endocarp_investment_cs","fixed",NA,"endocarp_investment_cs",-0.263539703619976,0.163906536671047,-1.60786573234042,0.107864588342001,-0.584790612325923,0.0577112050859702
"15","endocarp_investment_cs","ran_pars","sp4","sd__(Intercept)",1.82296502185315,NA,NA,NA,NA,NA
"16","endocarp_investment_cs","ran_pars","year","sd__(Intercept)",0.572801351498303,NA,NA,NA,NA,NA
"17","seedpred_pres","fixed",NA,"(Intercept)",-1.30045964178568,0.335368911371648,-3.87769884950529,0.000105449131631819,-1.95777062960851,-0.643148653962844
"18","seedpred_pres","fixed",NA,"seedpred_pres",0.835665720102463,0.375964973138602,2.22272227416885,0.0262345329836479,0.0987879133022347,1.57254352690269
"19","seedpred_pres","ran_pars","sp4","sd__(Intercept)",1.95019242671055,NA,NA,NA,NA,NA
"20","seedpred_pres","ran_pars","year","sd__(Intercept)",0.527666455858874,NA,NA,NA,NA,NA
"21","seed_dry_log_cs","fixed",NA,"(Intercept)",-0.599862339468801,0.177611485252032,-3.37738484995827,0.00073178585430712,-0.947974453803451,-0.25175022513415
"22","seed_dry_log_cs","fixed",NA,"seed_dry_log_cs",0.624963284013821,0.152273204099941,4.1042236400545,4.05674889323155e-05,0.32651328816742,0.923413279860222
"23","seed_dry_log_cs","ran_pars","sp4","sd__(Intercept)",1.64772095981188,NA,NA,NA,NA,NA
"24","seed_dry_log_cs","ran_pars","year","sd__(Intercept)",0.57083748019677,NA,NA,NA,NA,NA
"25","bcireproductive_log_cs","fixed",NA,"(Intercept)",-0.424875192871962,0.210431892966188,-2.019062732759,0.0434806996743912,-0.837314124284279,-0.0124362614596454
"26","bcireproductive_log_cs","fixed",NA,"bcireproductive_log_cs",0.420251794460363,0.178827537708192,2.35003959594927,0.0187714140838766,0.0697562611083274,0.770747327812399
"27","bcireproductive_log_cs","ran_pars","sp4","sd__(Intercept)",1.79272234124952,NA,NA,NA,NA,NA
"28","bcireproductive_log_cs","ran_pars","year","sd__(Intercept)",0.545645538990934,NA,NA,NA,NA,NA
