LIFEFORM,FAMILY,GENUS,SPECIES,SP6,sp,abscised_seeds,viable_seeds,total_seeds,proportion_abscised,sum_part1,sum_part2,sum_part5,n_traps,n_years
TREE,Fabaceae:Mim,Inga,multijuga,INGAM2,INM2,17.36888889,0,17.36888889,1,0,0,1,1,1
TREE,Sapotaceae,Manilkara,bidentata,MANIBI,MANB,1,0,1,1,0,0,1,1,1
SHRUB,Piperaceae,Piper,cordulatum,PIPECO,PPCO,515,0,515,1,0,0,5,2,2
TREE,Lythraceae,Lafoensia,punicifolia,LAFOPU,LAFP,422.5,9,431.5,0.979142526,0,9,5,5,9
UNDERSTORY,Fabaceae:Pap,Andira,inermis,ANDIIN,ANDI,28.75,1.15,29.9,0.961538462,1,0,25,1,1
LIANA,Bignoniaceae,Phryganocydi,corymbosa,PHRYCO,PHRC,5570.4,370.6285714,5941.028572,0.93761542,4,238,168,74,28
TREE,Chrysobalana,Licania,platypus,LICAPL,LICP,221,18,239,0.924686192,5,13,221,11,17
TREE,Clusiaceae,Garcinia,madruno,GAR2MA,RHEA,386.2222223,39.28888889,425.5111112,0.907666597,7,27,220,6,4
LIANA,Aristolochia,Aristolochia,tonduzii,ARISTO,ARIC,821,92,913,0.899233297,0,92,1,30,21
LIANA,Dilleniaceae,Tetracera,hydrophila,TET1HY,TETH,12179.2,1372.2,13551.4,0.898741089,296,425,3806,105,32
UNDERSTORY,Fabaceae:Mim,Inga,thibaudiana,INGATH,INTH,465.75,55.25,521,0.893953935,1,38,27,15,14
TREE,Sapotaceae,Chrysophyllu,cainito,CHR2CA,CHRC,13474.6,2169.92,15644.52,0.861298397,182,1522,3785,179,33
UNDERSTORY,Simaroubacea,Quassia,amara,QUASAM,QUA2,58,10,68,0.852941176,1,9,58,19,9
LIANA,Euphorbiacea,Omphalea,diandra,OMPHDI,OMPD,89.125,15.375,104.5,0.852870813,5,1,31,7,20
TREE,Euphorbiacea,Hura,crepitans,HURACR,HURC,840,156,996,0.843373494,7,86,84,33,32
UNDERSTORY,Sapindaceae,Talisia,nervosa,TALINE,TALN,155.76,30.44,186.2,0.836519871,17,8,118,6,8
TREE,Lauraceae,Beilschmiedi,pendula,BEILPE,BEIP,14357,2856,17213,0.834078894,1867,989,14357,155,32
TREE,Burseraceae,Tetragastris,panamensis,TET2PA,TET2,30989.07778,6347.957778,37337.03556,0.829982277,553,3936,7105,220,33
MIDSTORY,Arecaceae,Oenocarpus,mapora,OENOMA,OENM,26021,5504,31525,0.825408406,3744,1760,26021,244,33
TREE,Anacardiacea,Anacardium,excelsum,ANACEX,ANAE,6057,1293,7350,0.824081633,1066,227,6057,84,32
MIDSTORY,Arecaceae,Socratea,exorrhiza,SOCREX,SOCE,2798.4,597.4,3395.8,0.824076801,297,241,2332,60,32
TREE,Bombacaceae,Pseudobombax,septenatum,PSE1SE,PSE1,2277,489,2766,0.823210412,1,236,9,43,32
LIANA,Malpighiacea,Banisteriops,cornifolia,BANICO,BANC,190,43,233,0.815450644,40,3,190,18,23
LIANA,Bignoniaceae,Pithecocteni,crucigerum,PIT2CR,PITC,10773,2485,13258,0.812565998,2,2219,81,173,33
TREE,Burseraceae,Protium,tenuifolium,PROTTE,PROT,7152.142858,1707.714286,8859.857144,0.807252616,256,1086,2945,174,33
UNDERSTORY,Myrtaceae,Eugenia,coloradoensi,EUGECO,EUGC,1736.625,504.03125,2240.65625,0.775051952,321,173,1684,58,26
TREE,Nyctaginacea,Guapira,standleyana,GUAPST,GUAS,18044,5242,23286,0.774886198,3590,1652,18044,182,33
TREE,Fabaceae:Pap,Platypodium,elegans,PLA2EL,PLAE,2530,740,3270,0.773700306,729,11,2530,88,32
MIDSTORY,Chrysobalana,Hirtella,triandra,HIRTTR,HIRT,5127,1500,6627,0.773653237,491,1009,5127,214,33
LIANA,Bignoniaceae,Callichlamys,latifolia,CALLLA,CAL1,1593,470,2063,0.772176442,0,470,9,94,32
UNDERSTORY,Flacourtiace,Laetia,thamnia,LAETTH,LAET,2062.5,617.75,2680.25,0.769517769,15,149,66,34,24
