LIFEFORM,FAMILY,GENUS,SPECIES,sp,SP6,sum_part1,sum_part2,sum_part5,n_years,n_traps,total_seeds_sum,proportion_abscised_median,proportion_abscised_mean
TREE,Euphorbiacea,Hieronyma,alchorneoide,HYEL,HYERAL,234345,56549,228924,33,246,519818,0.479178603,0.48043422
UNDERSTORY,Rubiaceae,Alseis,blackiana,ALSB,ALSEBL,143319,319850,12873,33,338,344107,0.074609741,0.115207702
TREE,Tiliaceae,Luehea,seemannii,LUE1,LUEHSE,3796,205610,2548,33,411,211953,0.013211238,0.022516514
TREE,Bignoniaceae,Jacaranda,copaia,JACC,JAC1CO,226,205206,3940,33,443,209145,0.028301887,0.064282745
TREE,Meliaceae,Trichilia,tuberculata,TRI3,TRI2TU,15858,45265,41994,32,396,103117,0.331865748,0.357374231
LIANA,Malpighiacea,Mascagnia,ovatifolia,MASN,MASCNE,45505,231,43206,33,395,88855,0.532168584,0.524680647
TREE,Cecropiaceae,Cecropia,insignis,CECI,CECRIN,171,99159,139,30,189,57751,0.001512869,0.003941695
UNDERSTORY,Rubiaceae,Faramea,occidentalis,FARO,FARAOC,17511,16501,22589,33,401,56589,0.425763097,0.396336041
MIDSTORY,Ulmaceae,Trema,micrantha,TREM,TREMMI,13888,3826,36532,30,61,54219,0.683132747,0.602731011
UNDERSTORY,Euphorbiacea,Alchornea,costaricensi,ALCC,ALCHCO,8074,8950,30110,33,131,47100,0.580550418,0.509656895
SHRUB,Violaceae,Hybanthus,prunifolius,HYBP,HYBAPR,874,42113,3672,32,374,46659,0.086967931,0.105687759
MIDSTORY,Flacourtiace,Casearia,arborea,CAS2,CASEAR,16821,13437,15257,32,39,45506,0.335907336,0.351385898
TREE,Bombacaceae,Quararibea,asterolepis,QUA1,QUARAS,15778,15932,12350,32,332,44060,0.30618661,0.310861723
MIDSTORY,Arecaceae,Oenocarpus,mapora,OENM,OENOMA,3744,1760,26021,33,244,31525,0.856330014,0.830401291
LIANA,Sapindaceae,Thinouia,myriantha,THIM,THINMY,19173,35,9434,33,303,28614,0.324336197,0.314863414
TREE,Combretaceae,Terminalia,amazonia,TERA,TERMAM,12774,107,14331,33,406,26058,0.422745098,0.496256849
TREE,Rutaceae,Zanthoxylum,ekmanii,ZANB,ZANTBE,4702,4292,15614,30,200,24451,0.709114658,0.548772431
TREE,Nyctaginacea,Guapira,standleyana,GUAS,GUAPST,3590,1652,18044,33,182,23239,0.815905744,0.772061214
UNDERSTORY,Melastomatac,Miconia,argentea,MIC2,MICOAR,5822,22,16914,31,24,22750,0.756434393,0.75074221
MIDSTORY,Boraginaceae,Cordia,bicolor,CORB,CORDBI,4966,5174,8869,32,265,19009,0.472015032,0.476649358
TREE,Moraceae,Brosimum,alicastrum,BROA,BROSAL,6837,5238,6426,32,191,18501,0.382226135,0.371316435
TREE,Lauraceae,Beilschmiedi,pendula,BEIP,BEILPE,1867,989,14357,32,155,17212,0.824578791,0.776136295
TREE,Tiliaceae,Apeiba,membranacea,APEM,APEIME,332,14563,311,33,80,15206,0.026923077,0.048885986
LIANA,Malpighiacea,Hiraea,reclinata,HIR1,HIRARE,5414,16,9538,32,308,14968,0.671255411,0.638910752
LIANA,Sapindaceae,Serjania,mexicana,SERM,SERJME,9060,4,5736,32,190,14446,0.4375,0.397723719
TREE,Araliaceae,Dendropanax,arboreus,DENA,DENDAR,1660,4364,6823,32,197,12847,0.470455065,0.505837767
TREE,Boraginaceae,Cordia,alliodora,CORA,CORDAL,10656,335,1699,32,188,11758,0.129779838,0.168166532
TREE,Burseraceae,Tetragastris,panamensis,TET2,TET2PA,553,3936,7105,33,220,11594,0.674074074,0.58958709
TREE,Rutaceae,Zanthoxylum,acuminatum,ZAN2,ZANTPR,3675,2520,2919,28,26,9028,0.428890617,0.417969544
UNDERSTORY,Simaroubacea,Simarouba,amara,SIMA,SIMAAM,774,1375,6096,32,157,8245,0.803825494,0.774875957
LIANA,Sapindaceae,Serjania,circumvallat,SER1,SERJCI,5573,35,2768,32,247,8176,0.191262542,0.2453887
TREE,Anacardiacea,Anacardium,excelsum,ANAE,ANACEX,1066,227,6057,32,84,7350,0.857092598,0.825535882
LIANA,Malpighiacea,Mascagnia,hiraea,MASH,MASCHI,3978,18,3241,32,173,7235,0.482965932,0.47801812
TREE,Annonaceae,Guatteria,dumetorum,GUAD,GUATDU,674,2574,3765,33,265,7013,0.630057803,0.582529357
MIDSTORY,Chrysobalana,Hirtella,triandra,HIRT,HIRTTR,491,1009,5127,33,214,6625,0.798476885,0.788890087
LIANA,Dilleniaceae,Doliocarpus,major,DOL1,DOLIMA,970,4379,1191,33,262,6441,0.197439014,0.219794064
TREE,Flacourtiace,Laetia,procera,LAEP,LAETPR,723,3915,1746,33,53,6384,0.262589928,0.320238824
SHRUB,Melastomatac,Miconia,affinis,MIC1,MICOAF,2808,3,2902,26,29,5693,0.507557677,0.496462763
MIDSTORY,Polygonaceae,Triplaris,cumingiana,TRIC,TRIPCU,2450,5,3545,31,73,5621,0.646634615,0.616327089
UNDERSTORY,Flacourtiace,Hasseltia,floribunda,HASF,HASSFL,2529,1614,1318,32,150,5448,0.21978022,0.22718772
MIDSTORY,Rutaceae,Zanthoxylum,panamense,ZAN1,ZANTP1,2787,1616,1129,26,94,5397,0.303240454,0.382182866
SHRUB,Melastomatac,Mouriri,myrtilloides,MOUM,MOURMY,780,1840,2562,33,267,5182,0.521276596,0.532455584
TREE,Sapotaceae,Chrysophyllu,cainito,CHRC,CHR2CA,182,1522,3785,33,179,4842,0.508474576,0.52804525
LIANA,Dilleniaceae,Tetracera,hydrophila,TETH,TET1HY,296,425,3806,32,105,4416,0.772666388,0.725356191
SHRUB,Rubiaceae,Palicourea,guianensis,PALG,PALIGU,1225,3040,813,32,163,4334,0.104417671,0.201217216
SHRUB,Rubiaceae,Psychotria,horizontalis,PYHO,PSYCHO,926,3573,273,32,190,4279,0.060759883,0.073535972
TREE,Burseraceae,Protium,tenuifolium,PROT,PROTTE,256,1086,2945,33,174,4218,0.685714286,0.657542082
UNDERSTORY,Rhizophorace,Cassipourea,elliptica,CAS3,CASSEL,1693,404,2100,32,30,4194,0.531331169,0.527515546
UNDERSTORY,Combretaceae,Terminalia,oblonga,TERO,TERMOB,1335,20,2777,33,126,4110,0.527385658,0.523148172
TREE,Fabaceae:Pap,Dipteryx,oleifera,DIPP,DIPTPA,1854,216,1907,33,107,3935,0.325226244,0.413531304
TREE,Sapotaceae,Pouteria,reticulata,POUU,POUTRE,334,851,2757,30,159,3915,0.670864751,0.61864258
MIDSTORY,Olacaceae,Heisteria,concinna,HEIC,HEISCO,1538,890,1497,33,192,3872,0.386363636,0.373899239
